Date : 2024-03-31 14:47:50
Directory : c:\Users\where\Documents\github\code
Total : 3919 files,  405141 codes, 14593 comments, 298832 blanks, all 718566 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| _100\50                                                                                                                                                            |          1 |         16 |          0 |          1 |         17 |
| _100\51                                                                                                                                                            |          1 |         63 |          0 |          9 |         72 |
| _100\52                                                                                                                                                            |          1 |         71 |          0 |          8 |         79 |
| _100\53                                                                                                                                                            |          1 |         16 |          0 |          1 |         17 |
| _100\6                                                                                                                                                             |          1 |         34 |          0 |          3 |         37 |
| _100\9                                                                                                                                                             |          1 |         24 |          0 |          2 |         26 |
| algorithm                                                                                                                                                          |        632 |     20,788 |      2,513 |      4,384 |     27,685 |
| algorithm (Files)                                                                                                                                                  |          3 |         59 |          0 |         34 |         93 |
| algorithm\2-sat                                                                                                                                                    |          2 |         77 |         27 |         25 |        129 |
| algorithm\advancedDS                                                                                                                                               |         26 |        782 |         68 |        178 |      1,028 |
| algorithm\advancedDS\block                                                                                                                                         |          1 |         20 |          4 |          4 |         28 |
| algorithm\advancedDS\etcs                                                                                                                                          |          2 |         56 |          8 |          9 |         73 |
| algorithm\advancedDS\etcs\jumpList                                                                                                                                 |          2 |         56 |          8 |          9 |         73 |
| algorithm\advancedDS\fenwickTree                                                                                                                                   |         10 |        201 |         14 |         44 |        259 |
| algorithm\advancedDS\fenwickTree (Files)                                                                                                                           |          8 |        177 |         12 |         38 |        227 |
| algorithm\advancedDS\fenwickTree\using                                                                                                                             |          2 |         24 |          2 |          6 |         32 |
| algorithm\advancedDS\persistentSegmentTree                                                                                                                         |          1 |          3 |          0 |          3 |          6 |
| algorithm\advancedDS\slopeTrick                                                                                                                                    |          5 |        220 |         11 |         54 |        285 |
| algorithm\advancedDS\slopeTrick (Files)                                                                                                                            |          4 |        180 |          7 |         50 |        237 |
| algorithm\advancedDS\slopeTrick\questions                                                                                                                          |          1 |         40 |          4 |          4 |         48 |
| algorithm\advancedDS\suffixTree                                                                                                                                    |          6 |        272 |         31 |         58 |        361 |
| algorithm\advancedDS\suffixTree (Files)                                                                                                                            |          1 |          6 |          0 |          6 |         12 |
| algorithm\advancedDS\suffixTree\SuffixTree                                                                                                                         |          5 |        266 |         31 |         52 |        349 |
| algorithm\advancedDS\suffixTree\SuffixTree (Files)                                                                                                                 |          2 |         47 |          1 |         18 |         66 |
| algorithm\advancedDS\suffixTree\SuffixTree\SuffixTree                                                                                                              |          3 |        219 |         30 |         34 |        283 |
| algorithm\advancedDS\treeDecomposition                                                                                                                             |          1 |         10 |          0 |          6 |         16 |
| algorithm\array                                                                                                                                                    |         24 |        548 |         64 |        139 |        751 |
| algorithm\array (Files)                                                                                                                                            |         11 |        230 |         29 |         71 |        330 |
| algorithm\array\ArrayChangeWithK                                                                                                                                   |          2 |         61 |          2 |          9 |         72 |
| algorithm\array\contributeOfSubArray                                                                                                                               |          2 |         60 |          4 |         13 |         77 |
| algorithm\array\countSubArrayNumbers                                                                                                                               |          2 |         36 |          8 |          8 |         52 |
| algorithm\array\countSubArrayNumbers\count-subarrays-where-max-element-appears-at-least-k-times                                                                    |          2 |         36 |          8 |          8 |         52 |
| algorithm\array\minimum-adjacent-swaps-for-k-consecutive-ones                                                                                                      |          2 |         40 |          2 |          8 |         50 |
| algorithm\array\rotateArray                                                                                                                                        |          1 |         18 |          4 |          7 |         29 |
| algorithm\array\subarray                                                                                                                                           |          3 |         76 |         12 |         12 |        100 |
| algorithm\array\子序列                                                                                                                                                |          1 |         27 |          3 |         11 |         41 |
| algorithm\backtrack                                                                                                                                                |          8 |        173 |         22 |         24 |        219 |
| algorithm\backtrack (Files)                                                                                                                                        |          3 |         49 |          2 |         14 |         65 |
| algorithm\backtrack\samples                                                                                                                                        |          5 |        124 |         20 |         10 |        154 |
| algorithm\basic                                                                                                                                                    |         50 |      1,262 |        119 |        224 |      1,605 |
| algorithm\basic (Files)                                                                                                                                            |          1 |         21 |          0 |          4 |         25 |
| algorithm\basic\4叉树OrOperation                                                                                                                                     |          1 |         26 |          2 |          3 |         31 |
| algorithm\basic\arrayDiff                                                                                                                                          |          1 |         21 |          1 |          3 |         25 |
| algorithm\basic\basicMath                                                                                                                                          |          1 |         19 |          3 |          2 |         24 |
| algorithm\basic\binarySeach                                                                                                                                        |          4 |        109 |         13 |         18 |        140 |
| algorithm\basic\binarySeach (Files)                                                                                                                                |          3 |         77 |         12 |         18 |        107 |
| algorithm\basic\binarySeach\questions                                                                                                                              |          1 |         32 |          1 |          0 |         33 |
| algorithm\basic\bitXor                                                                                                                                             |          2 |         54 |         10 |         24 |         88 |
| algorithm\basic\char                                                                                                                                               |          1 |         29 |          0 |         13 |         42 |
| algorithm\basic\discreteMax                                                                                                                                        |          2 |         39 |          1 |          6 |         46 |
| algorithm\basic\increaseMaxLenSubArray                                                                                                                             |          1 |         21 |          4 |          2 |         27 |
| algorithm\basic\lcis                                                                                                                                               |          2 |         39 |          2 |          2 |         43 |
| algorithm\basic\linklist                                                                                                                                           |          3 |        134 |         14 |         23 |        171 |
| algorithm\basic\linklist (Files)                                                                                                                                   |          1 |         21 |          7 |          3 |         31 |
| algorithm\basic\linklist\LRU                                                                                                                                       |          1 |         46 |          2 |          9 |         57 |
| algorithm\basic\linklist\basic                                                                                                                                     |          1 |         67 |          5 |         11 |         83 |
| algorithm\basic\mergesort                                                                                                                                          |          1 |         30 |          3 |          6 |         39 |
| algorithm\basic\nearestSmallBigValue                                                                                                                               |          3 |         46 |          2 |          5 |         53 |
| algorithm\basic\node                                                                                                                                               |          1 |         13 |          1 |          3 |         17 |
| algorithm\basic\parser                                                                                                                                             |          5 |        222 |          4 |         26 |        252 |
| algorithm\basic\presum                                                                                                                                             |          6 |        121 |         12 |         15 |        148 |
| algorithm\basic\presum (Files)                                                                                                                                     |          4 |         61 |          8 |          9 |         78 |
| algorithm\basic\presum\matrix                                                                                                                                      |          1 |         24 |          1 |          3 |         28 |
| algorithm\basic\presum\questions                                                                                                                                   |          1 |         36 |          3 |          3 |         42 |
| algorithm\basic\pylib                                                                                                                                              |          2 |         28 |          0 |          9 |         37 |
| algorithm\basic\questions                                                                                                                                          |          1 |         16 |          1 |          1 |         18 |
| algorithm\basic\regex                                                                                                                                              |          1 |         10 |          0 |          1 |         11 |
| algorithm\basic\sample                                                                                                                                             |          2 |         15 |          0 |          2 |         17 |
| algorithm\basic\simpleParser                                                                                                                                       |          1 |         90 |          6 |         10 |        106 |
| algorithm\basic\stack                                                                                                                                              |          1 |         27 |          1 |          8 |         36 |
| algorithm\basic\twoPointer                                                                                                                                         |          2 |         30 |          6 |         11 |         47 |
| algorithm\basic\variable                                                                                                                                           |          1 |         23 |          2 |          9 |         34 |
| algorithm\basic\三分法                                                                                                                                                |          1 |         28 |         10 |          6 |         44 |
| algorithm\basic\分组循环                                                                                                                                               |          1 |         14 |          2 |          0 |         16 |
| algorithm\basic\扫描线法                                                                                                                                               |          1 |         23 |          2 |          7 |         32 |
| algorithm\basic\最长优势子数组                                                                                                                                            |          1 |         14 |         17 |          5 |         36 |
| algorithm\bfs                                                                                                                                                      |         11 |        303 |         23 |         39 |        365 |
| algorithm\bfs (Files)                                                                                                                                              |          4 |        115 |         12 |          7 |        134 |
| algorithm\bfs\questions                                                                                                                                            |          7 |        188 |         11 |         32 |        231 |
| algorithm\bfs\questions (Files)                                                                                                                                    |          1 |         22 |          1 |          1 |         24 |
| algorithm\bfs\questions\bfsForSSSP                                                                                                                                 |          1 |         27 |          2 |          6 |         35 |
| algorithm\bfs\questions\bfsWithStatus                                                                                                                              |          1 |         40 |          1 |          4 |         45 |
| algorithm\bfs\questions\maxPath                                                                                                                                    |          2 |         49 |          3 |         12 |         64 |
| algorithm\bfs\questions\otForBfs                                                                                                                                   |          1 |         22 |          3 |          7 |         32 |
| algorithm\bfs\questions\qs                                                                                                                                         |          1 |         28 |          1 |          2 |         31 |
| algorithm\bitManipulation                                                                                                                                          |          9 |        102 |         16 |         29 |        147 |
| algorithm\bitManipulation (Files)                                                                                                                                  |          8 |         85 |         16 |         27 |        128 |
| algorithm\bitManipulation\偶数个连续0的数字                                                                                                                                |          1 |         17 |          0 |          2 |         19 |
| algorithm\bruteforce                                                                                                                                               |          7 |        298 |          3 |         45 |        346 |
| algorithm\bruteforce (Files)                                                                                                                                       |          6 |        199 |          3 |         28 |        230 |
| algorithm\bruteforce\bitCompression                                                                                                                                |          1 |         99 |          0 |         17 |        116 |
| algorithm\checker                                                                                                                                                  |          1 |         87 |          0 |         14 |        101 |
| algorithm\checker\kmpChecker                                                                                                                                       |          1 |         87 |          0 |         14 |        101 |
| algorithm\codesnippet                                                                                                                                              |          1 |        114 |          0 |         40 |        154 |
| algorithm\count                                                                                                                                                    |          1 |         23 |          1 |          1 |         25 |
| algorithm\countSubArray                                                                                                                                            |          2 |         52 |          4 |          8 |         64 |
| algorithm\countSubArray\questions                                                                                                                                  |          2 |         52 |          4 |          8 |         64 |
| algorithm\count\countWithMultpleRestrictions                                                                                                                       |          1 |         23 |          1 |          1 |         25 |
| algorithm\datastructure                                                                                                                                            |          2 |         42 |          1 |          6 |         49 |
| algorithm\dfs                                                                                                                                                      |         33 |      1,463 |        282 |        331 |      2,076 |
| algorithm\dfs (Files)                                                                                                                                              |         10 |        379 |         88 |         90 |        557 |
| algorithm\dfs\DFS取得上下轮廓                                                                                                                                            |          1 |         15 |         21 |         15 |         51 |
| algorithm\dfs\dfsWithOrder                                                                                                                                         |          1 |         52 |          7 |          4 |         63 |
| algorithm\dfs\dfs缩点                                                                                                                                                |          1 |         68 |         21 |         14 |        103 |
| algorithm\dfs\findBridgeOnline                                                                                                                                     |          1 |        104 |          2 |         11 |        117 |
| algorithm\dfs\postorderDFS                                                                                                                                         |          3 |         62 |          7 |         11 |         80 |
| algorithm\dfs\qestions                                                                                                                                             |          4 |        182 |         16 |         28 |        226 |
| algorithm\dfs\ssc                                                                                                                                                  |          3 |        183 |         81 |         44 |        308 |
| algorithm\dfs\tarjan                                                                                                                                               |          2 |        275 |         26 |         76 |        377 |
| algorithm\dfs\分组背包                                                                                                                                                 |          3 |         57 |          6 |         22 |         85 |
| algorithm\dfs\小猫爬山                                                                                                                                                 |          1 |         23 |          2 |          6 |         31 |
| algorithm\dfs\最小移动距离                                                                                                                                               |          2 |         45 |          5 |          4 |         54 |
| algorithm\dfs\有向简单图求环                                                                                                                                              |          1 |         18 |          0 |          6 |         24 |
| algorithm\dp                                                                                                                                                       |         66 |      1,506 |        204 |        301 |      2,011 |
| algorithm\dp (Files)                                                                                                                                               |          1 |         40 |          0 |          5 |         45 |
| algorithm\dp\dividAndConquer                                                                                                                                       |          1 |         23 |          0 |          3 |         26 |
| algorithm\dp\dp-questions                                                                                                                                          |         15 |        324 |         35 |         75 |        434 |
| algorithm\dp\dp-questions (Files)                                                                                                                                  |          1 |          3 |          0 |          3 |          6 |
| algorithm\dp\dp-questions\makeGrade                                                                                                                                |          1 |         21 |          2 |          3 |         26 |
| algorithm\dp\dp-questions\双人路径                                                                                                                                     |          3 |         59 |         12 |         13 |         84 |
| algorithm\dp\dp-questions\多子数组选择                                                                                                                                   |          1 |         17 |          0 |          4 |         21 |
| algorithm\dp\dp-questions\多维压缩                                                                                                                                     |          1 |         34 |          1 |          1 |         36 |
| algorithm\dp\dp-questions\多重背包                                                                                                                                     |          1 |         17 |          5 |          2 |         24 |
| algorithm\dp\dp-questions\状态压缩                                                                                                                                     |          3 |         74 |          3 |         19 |         96 |
| algorithm\dp\dp-questions\选课问题                                                                                                                                     |          2 |         42 |          7 |         18 |         67 |
| algorithm\dp\dp-questions\隐含背包DP                                                                                                                                   |          1 |         17 |          3 |          8 |         28 |
| algorithm\dp\dp-questions\非空子序列                                                                                                                                    |          1 |         40 |          2 |          4 |         46 |
| algorithm\dp\dpWithStatus-Number                                                                                                                                   |          8 |        182 |         47 |         55 |        284 |
| algorithm\dp\dpWithStatus-Number\数位DP                                                                                                                              |          8 |        182 |         47 |         55 |        284 |
| algorithm\dp\dp倒序                                                                                                                                                  |          1 |         19 |          4 |          5 |         28 |
| algorithm\dp\knapsack                                                                                                                                              |          2 |         35 |          1 |          3 |         39 |
| algorithm\dp\k個子數組                                                                                                                                                 |          1 |         13 |          6 |          4 |         23 |
| algorithm\dp\lis                                                                                                                                                   |          2 |         49 |          4 |          8 |         61 |
| algorithm\dp\palindromic                                                                                                                                           |          1 |         12 |          0 |          7 |         19 |
| algorithm\dp\questions                                                                                                                                             |         24 |        499 |         65 |         81 |        645 |
| algorithm\dp\questions (Files)                                                                                                                                     |         10 |        182 |         25 |         29 |        236 |
| algorithm\dp\questions\2d状态压缩dp                                                                                                                                    |          1 |         41 |          8 |          4 |         53 |
| algorithm\dp\questions\DPwithStateChange                                                                                                                           |          1 |         26 |          1 |          2 |         29 |
| algorithm\dp\questions\DpWithIncreaseState                                                                                                                         |          1 |         14 |          2 |          4 |         20 |
| algorithm\dp\questions\dpAndDFSWithCache                                                                                                                           |          2 |         27 |          3 |          2 |         32 |
| algorithm\dp\questions\dpWithMonoStack                                                                                                                             |          1 |         25 |          1 |          7 |         33 |
| algorithm\dp\questions\dpWithSlidWindow                                                                                                                            |          2 |         60 |          5 |          7 |         72 |
| algorithm\dp\questions\make-array-strictly-increasing                                                                                                              |          1 |         21 |          1 |          0 |         22 |
| algorithm\dp\questions\takeOrNot                                                                                                                                   |          2 |         21 |          6 |         10 |         37 |
| algorithm\dp\questions\单调队列优化dp                                                                                                                                    |          1 |         25 |          6 |         11 |         42 |
| algorithm\dp\questions\固定cost在dp里的处理                                                                                                                               |          1 |         26 |          3 |          1 |         30 |
| algorithm\dp\questions\状态压缩                                                                                                                                        |          1 |         31 |          4 |          4 |         39 |
| algorithm\dp\questions\状态压缩\problems                                                                                                                               |          1 |         31 |          4 |          4 |         39 |
| algorithm\dp\recheckForDp                                                                                                                                          |          1 |         78 |          7 |         11 |         96 |
| algorithm\dp\stateDp                                                                                                                                               |          1 |         13 |          2 |          1 |         16 |
| algorithm\dp\treedp                                                                                                                                                |          3 |        123 |         10 |         17 |        150 |
| algorithm\dp\treedp (Files)                                                                                                                                        |          2 |         86 |          7 |         12 |        105 |
| algorithm\dp\treedp\question                                                                                                                                       |          1 |         37 |          3 |          5 |         45 |
| algorithm\dp\坐标平移                                                                                                                                                  |          2 |         45 |          8 |         13 |         66 |
| algorithm\dp\多重背包化简                                                                                                                                                |          1 |         25 |          6 |          8 |         39 |
| algorithm\dp\覆盖问题                                                                                                                                                  |          1 |         10 |          8 |          3 |         21 |
| algorithm\dp\预处理                                                                                                                                                   |          1 |         16 |          1 |          2 |         19 |
| algorithm\dsu                                                                                                                                                      |         12 |        271 |         46 |         52 |        369 |
| algorithm\dsu (Files)                                                                                                                                              |         11 |        254 |         42 |         47 |        343 |
| algorithm\dsu\others                                                                                                                                               |          1 |         17 |          4 |          5 |         26 |
| algorithm\etcs                                                                                                                                                     |         13 |        259 |         22 |         40 |        321 |
| algorithm\etcs (Files)                                                                                                                                             |          2 |         23 |          0 |         10 |         33 |
| algorithm\etcs\assignValue                                                                                                                                         |          4 |         52 |          5 |         10 |         67 |
